CLIENTNUM,Attrition_Flag,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,Gender_M,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Spending_Ratio,Avg_Transaction_Amt
708953883,Attrited Customer,53,2,36,2,2,1,3212.0,0,3212.0,0.713,757,20,0.25,0.0,0.98692,0.01308,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0.23567870485678705,37.85
708868233,Attrited Customer,68,0,52,1,3,2,1438.3,900,538.3,0.743,760,21,0.615,0.626,0.99338,0.00662,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.5284015852047557,36.19047619047619
719808558,Attrited Customer,55,2,43,2,4,3,1438.3,0,1438.3,0.707,886,27,0.421,0.0,0.99727,0.00272694,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.6160050059097546,32.81481481481482
711551958,Attrited Customer,59,2,46,3,3,3,1438.3,0,1438.3,0.688,844,24,0.5,0.0,0.9972,0.00280059,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.586803865674755,35.166666666666664
772336458,Attrited Customer,60,1,50,4,4,3,1438.3,1025,413.3,0.838,702,12,0.714,0.713,0.99717,0.00282527,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.4880762010707085,58.5
720997383,Attrited Customer,52,1,36,2,3,3,1857.0,1833,24.0,0.723,829,17,0.7,0.987,0.99659,0.00341249,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.4464189553042542,48.76470588235294
710299608,Attrited Customer,53,2,33,2,3,3,2859.0,2517,342.0,0.993,817,30,0.667,0.88,0.997,0.00299743,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.285764253235397,27.233333333333334
821797008,Attrited Customer,49,5,45,2,2,3,1438.3,0,1438.3,0.734,815,21,0.615,0.0,0.99482,0.00518,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.5666411736077314,38.80952380952381
708874533,Attrited Customer,45,2,36,1,3,2,3387.0,0,3387.0,0.789,510,24,0.6,0.0,0.99432,0.00568,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.15057573073516387,21.25
712125258,Attrited Customer,46,4,30,3,3,3,2442.0,0,2442.0,0.98,701,19,0.727,0.0,0.99677,0.00323086,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2870597870597871,36.89473684210526
772390908,Attrited Customer,59,0,48,2,4,3,3616.0,1054,2562.0,0.616,687,17,0.545,0.291,0.99673,0.00326713,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.18998893805309736,40.411764705882355
778867533,Attrited Customer,59,0,40,1,4,1,1438.3,0,1438.3,1.038,689,23,0.353,0.0,0.9925,0.0075,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.4790377529027324,29.956521739130434
771809733,Attrited Customer,64,0,53,1,3,3,3353.0,0,3353.0,1.021,960,18,0.385,0.0,0.99605,0.00394582,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.2863107664777811,53.333333333333336
719211558,Attrited Customer,45,2,36,1,1,2,3401.0,0,3401.0,0.898,744,18,1.0,0.0,0.98217,0.01783,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.21875918847397824,41.333333333333336
718621608,Attrited Customer,54,2,44,3,3,1,6094.0,0,6094.0,1.129,909,14,0.273,0.0,0.99061,0.00939,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.14916311125697407,64.92857142857143
720272958,Attrited Customer,48,2,36,3,3,3,27126.0,0,27126.0,0.953,1000,25,0.786,0.0,0.99661,0.00338788,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.03686500036865,40.0
709173108,Attrited Customer,54,4,40,6,2,2,2532.0,2221,311.0,0.491,799,21,0.235,0.877,0.99169,0.00831,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.3155608214849921,38.04761904761905
708330858,Attrited Customer,57,3,38,2,3,3,8249.0,1381,6868.0,0.798,678,11,0.833,0.167,0.99683,0.00317458,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0821917808219178,61.63636363636363
709278258,Attrited Customer,54,2,44,4,3,2,2902.0,2517,385.0,0.821,996,26,0.444,0.867,0.99497,0.00503,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.34321157822191595,38.30769230769231
714871683,Attrited Customer,58,1,36,2,4,3,1438.3,537,901.3,0.819,715,13,0.182,0.373,0.99717,0.00282527,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.4971146492386846,55.0
708288108,Attrited Customer,43,4,30,2,5,3,5639.0,1547,4092.0,1.087,647,15,0.364,0.274,0.99761,0.00239178,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.11473665543536088,43.13333333333333
717354558,Attrited Customer,57,2,40,3,3,3,3106.0,1120,1986.0,1.045,683,17,0.7,0.361,0.9968,0.00320374,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.21989697359948487,40.1764705882353
714639783,Attrited Customer,42,3,34,3,3,3,13450.0,0,13450.0,0.742,1000,18,0.059,0.0,0.99674,0.00326498,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.07434944237918216,55.55555555555556
778868958,Attrited Customer,42,2,23,3,3,3,1929.0,1673,256.0,0.835,857,36,1.118,0.867,0.99671,0.00329379,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.4442716433385174,23.805555555555557
710940183,Attrited Customer,49,3,38,6,3,2,2185.0,0,2185.0,0.727,715,20,0.818,0.0,0.99467,0.00533,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.32723112128146453,35.75
709547658,Attrited Customer,39,2,36,5,3,3,13961.0,1299,12662.0,0.842,783,20,0.667,0.093,0.9968,0.00320374,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.05608480767853306,39.15
712159083,Attrited Customer,58,4,46,2,3,3,2536.0,0,2536.0,0.917,901,35,0.522,0.0,0.99714,0.00285845,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.3552839116719243,25.742857142857144
711791583,Attrited Customer,52,1,40,1,2,2,2317.0,0,2317.0,1.005,884,19,0.727,0.0,0.99073,0.00927,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.3815278377211912,46.526315789473685
712315683,Attrited Customer,53,2,45,1,1,1,1981.0,1518,463.0,1.019,973,25,0.923,0.766,0.97155,0.02845,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.4911660777385159,38.92
789842283,Attrited Customer,54,2,42,3,3,2,4320.0,0,4320.0,0.967,706,21,0.5,0.0,0.99447,0.00553,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.16342592592592592,33.61904761904762
719418933,Attrited Customer,53,2,36,1,3,3,4503.0,0,4503.0,0.659,748,20,0.429,0.0,0.9968,0.00320374,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.1661114812347324,37.4
781794708,Attrited Customer,35,3,29,2,1,3,17030.0,1911,15119.0,0.528,715,25,0.562,0.112,0.99124,0.00876,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.04198473282442748,28.6
714272658,Attrited Customer,43,2,24,2,3,2,2962.0,2517,445.0,1.046,929,31,0.409,0.85,0.99462,0.00538,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.3136394328156651,29.967741935483872
767294658,Attrited Customer,56,2,50,2,2,3,16867.0,0,16867.0,0.885,654,14,0.4,0.0,0.99466,0.00534,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.03877393727396692,46.714285714285715
708241233,Attrited Customer,52,3,47,3,3,2,2972.0,0,2972.0,1.035,922,25,0.562,0.0,0.99547,0.00453174,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.310228802153432,36.88
716223708,Attrited Customer,45,3,36,3,3,3,4028.0,710,3318.0,0.731,791,22,0.833,0.176,0.99691,0.00308778,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.19637537239324726,35.95454545454545
719443683,Attrited Customer,50,1,39,3,2,3,27512.0,2137,25375.0,1.048,1149,25,0.562,0.078,0.99496,0.00504,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.04176359406804304,45.96
779610033,Attrited Customer,58,1,47,3,3,3,12151.0,1799,10352.0,1.022,918,14,0.556,0.148,0.99639,0.00360825,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.07554933750308616,65.57142857142857
709345008,Attrited Customer,53,2,39,1,2,3,1438.3,0,1438.3,0.644,807,22,0.692,0.0,0.9964,0.00359603,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5610790516582076,36.68181818181818
721417233,Attrited Customer,45,2,25,3,5,3,1438.3,0,1438.3,0.676,709,27,0.421,0.0,0.99705,0.00294997,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.4929430577765418,26.25925925925926
769137108,Attrited Customer,43,2,37,3,3,1,1438.3,0,1438.3,1.004,974,28,0.273,0.0,0.99223,0.00777,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.6771883473545157,34.785714285714285
717640083,Attrited Customer,59,1,36,3,2,3,6705.0,0,6705.0,0.749,731,18,0.5,0.0,0.99431,0.00569,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.10902311707680835,40.611111111111114
794977533,Attrited Customer,62,0,56,3,3,2,8077.0,0,8077.0,0.749,906,16,0.333,0.0,0.99338,0.00662,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.11217036028228303,56.625
752604633,Attrited Customer,57,2,50,2,5,3,6462.0,0,6462.0,0.856,761,17,0.214,0.0,0.99697,0.00303398,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.1177653977096874,44.76470588235294
711242058,Attrited Customer,48,4,36,1,3,1,11862.0,2517,9345.0,0.766,643,16,0.231,0.212,0.99207,0.00793,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.05420671050413084,40.1875
718121658,Attrited Customer,56,1,44,5,3,3,1704.0,0,1704.0,0.701,660,17,0.308,0.0,0.99639,0.00360825,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.3873239436619718,38.8235294117647
711593808,Attrited Customer,55,1,46,2,2,3,1438.3,0,1438.3,1.037,888,18,1.25,0.0,0.99431,0.00569,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.6173955363971355,49.333333333333336
718731183,Attrited Customer,61,1,49,1,2,2,5472.0,788,4684.0,0.526,705,14,0.273,0.144,0.99156,0.00844,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.1288377192982456,50.357142857142854
713865333,Attrited Customer,45,4,38,3,4,3,4908.0,0,4908.0,0.993,827,21,0.75,0.0,0.99747,0.00252933,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.16850040749796252,39.38095238095238
797707008,Attrited Customer,44,3,38,6,1,3,7222.0,0,7222.0,0.685,920,18,0.5,0.0,0.99286,0.00714,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.12738853503184713,51.111111111111114
720370533,Attrited Customer,55,3,44,3,2,2,2323.0,0,2323.0,0.737,804,15,0.5,0.0,0.99183,0.00817,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.3461041756349548,53.6
718675158,Attrited Customer,55,1,36,4,1,3,1438.3,361,1077.3,0.963,850,22,0.692,0.251,0.98965,0.01035,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.5909754571368977,38.63636363636363
720605808,Attrited Customer,53,1,36,2,2,3,1438.3,0,1438.3,0.672,799,17,0.214,0.0,0.99447,0.00553,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.5555169297086838,47.0
770724558,Attrited Customer,42,2,28,6,1,3,7340.0,0,7340.0,0.65,838,24,0.412,0.0,0.98902,0.01098,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.11416893732970028,34.916666666666664
719309958,Attrited Customer,55,3,35,4,1,3,20865.0,0,20865.0,0.881,837,25,0.667,0.0,0.99286,0.00714,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.040115025161754136,33.48
808897683,Attrited Customer,53,1,48,3,3,3,30271.0,1406,28865.0,1.336,3231,47,0.306,0.046,0.99649,0.00350838,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.1067358197614879,68.74468085106383
718939083,Attrited Customer,54,2,45,3,1,3,1438.3,306,1132.3,1.035,694,15,0.364,0.213,0.98932,0.01068,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.48251407912118477,46.266666666666666
712979133,Attrited Customer,55,4,41,2,2,2,27560.0,900,26660.0,1.031,646,10,0.25,0.033,0.99146,0.00854,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.02343976777939042,64.6
720071583,Attrited Customer,48,2,36,5,1,3,7151.0,800,6351.0,0.986,854,22,0.375,0.112,0.99028,0.00972,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.1194238568032443,38.81818181818182
812420358,Attrited Customer,61,0,56,3,3,3,2122.0,554,1568.0,0.857,949,17,0.133,0.261,0.99616,0.0038363,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.4472196041470311,55.8235294117647
798792408,Attrited Customer,48,3,42,1,1,3,9959.0,0,9959.0,0.688,805,24,0.143,0.0,0.98941,0.01059,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.08083140877598152,33.541666666666664
711204483,Attrited Customer,56,4,46,3,3,3,2340.0,1930,410.0,0.987,781,15,0.364,0.825,0.99677,0.00323086,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.33376068376068374,52.06666666666667
713945883,Attrited Customer,62,2,52,4,2,2,2490.0,513,1977.0,0.678,864,20,0.333,0.206,0.99129,0.00871,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.3469879518072289,43.2
789513858,Attrited Customer,43,3,35,2,2,3,1438.3,0,1438.3,0.694,891,28,0.4,0.0,0.99544,0.00455805,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.6194813321282069,31.821428571428573
771963708,Attrited Customer,56,3,45,5,3,2,12248.0,0,12248.0,0.894,767,25,0.562,0.0,0.99515,0.00484967,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.06262246897452646,30.68
712433508,Attrited Customer,59,1,50,3,2,3,1438.3,0,1438.3,0.57,724,16,0.231,0.0,0.99496,0.00504,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.5033720364318988,45.25
778506633,Attrited Customer,43,4,23,6,2,3,7706.0,392,7314.0,0.764,965,27,0.421,0.051,0.9949,0.0051,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.12522709576953023,35.74074074074074
713530833,Attrited Customer,58,2,48,2,3,3,4085.0,2238,1847.0,0.568,596,15,0.5,0.548,0.99671,0.00329379,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.14589963280293758,39.733333333333334
778699908,Attrited Customer,43,2,24,2,3,3,14447.0,0,14447.0,0.856,915,29,2.222,0.0,0.9968,0.00320374,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.06333494843220046,31.551724137931036
716991933,Attrited Customer,53,3,35,6,3,1,9786.0,0,9786.0,0.701,820,25,0.562,0.0,0.99143,0.00857,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.08379317392192928,32.8
802002858,Attrited Customer,62,1,56,2,1,2,8990.0,0,8990.0,0.935,747,19,0.583,0.0,0.98049,0.01951,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.08309232480533926,39.31578947368421
712373208,Attrited Customer,43,3,35,3,3,2,3312.0,0,3312.0,0.698,647,19,0.462,0.0,0.99631,0.00368792,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.19535024154589373,34.05263157894737
708455883,Attrited Customer,57,1,36,2,3,2,10244.0,861,9383.0,0.78,1127,29,0.381,0.084,0.99411,0.00589,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.11001561889886763,38.86206896551724
763895958,Attrited Customer,53,2,46,4,3,1,7474.0,0,7474.0,0.858,732,21,0.615,0.0,0.99061,0.00939,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.09793952368209793,34.857142857142854
711927108,Attrited Customer,54,3,36,2,3,4,9457.0,350,9107.0,1.024,1196,28,0.333,0.037,0.99808,0.00191647,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.12646716717775194,42.714285714285715
711147483,Attrited Customer,46,3,28,2,2,3,8551.0,1067,7484.0,0.931,1097,32,0.778,0.125,0.99499,0.00501,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.12828908899543914,34.28125
720990183,Attrited Customer,54,5,36,5,2,3,14539.0,0,14539.0,0.907,965,26,0.529,0.0,0.99482,0.00518,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.06637320310887956,37.11538461538461
716608608,Attrited Customer,41,2,33,5,3,3,8004.0,1452,6552.0,0.929,1084,32,0.524,0.181,0.9968,0.00320374,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.13543228385807096,33.875
788673708,Attrited Customer,57,2,45,2,1,3,1438.3,0,1438.3,1.036,1254,35,0.842,0.0,0.98902,0.01098,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.8718626155878468,35.82857142857143
816600933,Attrited Customer,56,0,51,3,2,3,14501.0,0,14501.0,0.854,1031,25,0.389,0.0,0.99378,0.00622,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.071098544927936,41.24
714208533,Attrited Customer,43,3,36,1,3,3,8663.0,288,8375.0,0.639,916,33,0.32,0.033,0.99673,0.00326528,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.10573704259494401,27.757575757575758
720426708,Attrited Customer,56,3,45,2,1,3,8512.0,0,8512.0,1.038,811,27,1.25,0.0,0.98941,0.01059,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.09527725563909774,30.037037037037038
708983658,Attrited Customer,51,2,39,3,3,1,16868.0,0,16868.0,0.938,940,25,0.471,0.0,0.99111,0.00889,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.05572682001422812,37.6
778663458,Attrited Customer,65,1,47,3,2,1,1759.0,0,1759.0,1.058,821,18,0.5,0.0,0.98429,0.01571,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.46674246731097213,45.611111111111114
716024808,Attrited Customer,57,1,36,3,3,3,4829.0,2418,2411.0,0.601,938,21,0.4,0.501,0.99649,0.00350838,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.19424311451646303,44.666666666666664
721249158,Attrited Customer,42,2,30,2,2,3,6414.0,0,6414.0,0.718,708,14,0.4,0.0,0.99495,0.00505,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.11038353601496725,50.57142857142857
713845083,Attrited Customer,41,4,36,6,2,3,4203.0,2517,1686.0,0.771,1489,43,0.536,0.599,0.9949,0.0051,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.35427075898167976,34.627906976744185
813499458,Attrited Customer,45,5,40,3,3,1,1438.3,0,1438.3,1.23,2132,31,0.107,0.0,0.9909,0.0091,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1.4823054995480776,68.7741935483871
712240083,Attrited Customer,38,3,30,6,2,2,3730.0,2517,1213.0,0.853,858,22,0.467,0.675,0.99236,0.00764,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.23002680965147454,39.0
772532208,Attrited Customer,51,2,41,2,2,3,6630.0,916,5714.0,0.927,842,24,0.5,0.138,0.9964,0.00359603,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.12699849170437405,35.083333333333336
778929783,Attrited Customer,40,3,22,2,2,3,1925.0,0,1925.0,0.672,781,28,0.75,0.0,0.99499,0.00501,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4057142857142857,27.892857142857142
713053383,Attrited Customer,42,3,36,1,1,3,34516.0,781,33735.0,0.803,853,12,0.091,0.023,0.98971,0.01029,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.024713176497856065,71.08333333333333
803595858,Attrited Customer,56,3,51,5,2,1,1438.3,0,1438.3,0.597,594,14,0.556,0.0,0.98576,0.01424,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.41298755475213794,42.42857142857143
710754933,Attrited Customer,61,0,49,6,2,3,1438.3,0,1438.3,0.94,840,20,0.818,0.0,0.99395,0.00605,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.584022804699993,42.0
720007383,Attrited Customer,41,2,28,2,1,3,4411.0,2517,1894.0,0.988,803,15,0.875,0.571,0.99028,0.00972,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.18204488778054864,53.53333333333333
718362783,Attrited Customer,35,2,27,3,2,3,12643.0,0,12643.0,0.393,787,21,0.167,0.0,0.9948,0.0052,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.062247884204698255,37.476190476190474
708856983,Attrited Customer,36,3,27,2,1,2,13873.0,0,13873.0,0.233,694,18,0.286,0.0,0.98535,0.01465,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.05002522886181792,38.55555555555556
709961958,Attrited Customer,58,4,45,4,1,1,21065.0,2517,18548.0,0.84,1060,32,0.333,0.119,0.97132,0.02868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.050320436743413244,33.125
717412608,Attrited Customer,38,2,28,3,2,2,7225.0,0,7225.0,0.419,738,16,0.231,0.0,0.99104,0.00896,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.10214532871972318,46.125
712120608,Attrited Customer,35,3,27,3,2,3,3575.0,1884,1691.0,0.384,861,15,1.5,0.527,0.99485,0.00515,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.24083916083916085,57.4
